# Image list with two lines of data per image:
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 1500, mean observations per image: 4443.9660000000003
32 0.99994931542487864 0.003488265283833559 0.0045200320566491049 -0.0082926411253126942 0.0045210018897346447 -1.7270181394498272 5.6265326201282697 1 17032618881300.png
33 0.99994740848933938 0.0027097058226883898 0.0058888701599888555 -0.0079472610406062325 0.02230599390844723 -1.7157008536930369 5.6172099002475173 1 17032618881967.png
34 0.99994692861876699 0.00205762448606652 0.0074447929717017221 -0.0068177111245128867 0.045312770871812721 -1.7053047874324321 5.6072995236348682 1 17032618882635.png
35 0.9999239545705636 0.0023221287340712718 0.010015932671376196 -0.0068098375039608193 0.073827053331606191 -1.7040799586032032 5.5938027398332206 1 17032618883302.png
36 0.99991761530832679 0.001696140989337204 0.011013307392690481 -0.0063712449433065161 0.086862657893297501 -1.6930202613380387 5.5835764653869004 1 17032618883969.png
37 0.99990088702261182 0.0025264976980525632 0.011951840087926567 -0.0069990327394947377 0.09517079705654849 -1.6984942564910561 5.5680648434696067 1 17032618884636.png
38 0.99989032137685552 0.0010426446101979038 0.012706093670700377 -0.0075374593025049706 0.10277152441965061 -1.6800785296042808 5.5608524760793179 1 17032618885304.png
39 0.99986260805217342 0.002088465840386535 0.014529553191939921 -0.007700351523273365 0.1218406169914683 -1.6873552187727141 5.5444302722948189 1 17032618885971.png
40 0.9998642154074262 0.002617507397831521 0.014548498309144668 -0.0072828977517915448 0.12438415343452375 -1.6898679502061293 5.5301303881783355 1 17032618886638.png
41 0.99983904064024665 0.0028929374967785271 0.015952823373822044 -0.007683173213896932 0.13862164426294918 -1.6885416870932237 5.5165566187673711 1 17032618887305.png
42 0.99984840579214984 0.0022832829991684435 0.016315156532471259 -0.0056362860966483689 0.1501795542282576 -1.6793045070147401 5.5060870664323884 1 17032618887972.png
43 0.99983496745146616 0.0038818526795918267 0.016670246124973129 -0.0060886759835255856 0.15287818205522774 -1.6921114208670738 5.4880833917946132 1 17032618888640.png
44 0.99983439587098288 0.0018259523413096722 0.01720062891261449 -0.0056555367883536559 0.15957474020758627 -1.6664422807433306 5.483036483793712 1 17032618889307.png
45 0.99982549499770967 0.0036041254667210027 0.017118641905989593 -0.0065530093468123708 0.15480486269961924 -1.6824310833109353 5.4645837268660156 1 17032618889974.png
46 0.99985917189032636 0.0031053392381075098 0.015637454684756968 -0.0052405406199563234 0.14279339705908176 -1.6726589018095757 5.4547624762149836 1 17032618890641.png
47 0.99986430815051042 0.0028366082505536486 0.014745486320317769 -0.0067741843428971932 0.12754491051604508 -1.6676252564659897 5.4440680826825965 1 17032618891308.png
48 0.99988656113673113 0.0046219058440629505 0.013252541126573418 -0.0054656196555700424 0.11617514918621312 -1.6816086390220804 5.4264875490736966 1 17032618891975.png
